CS_number,name,country,latitude,longitude,collector,seq_by,Experiment,N_source,N_concentration,N_treatment,Leaf_Area,Total_roots,PR_length,Number_of_LR,Total_LR,LR_density,LR_length,LR_to_total_roots,LR_to_PR,X2MSO,X3OHP,X4OHB,X3MSO,OH_3_Butenyl,X4MSO,Allyl,X5MSO,Branches,X3_Butenyl,X6MSO,X3MT,X7MSO,X4_Pentenyl,X4MT,X8MSO,I3M,X4MOI3M,Aliphatic,Indolic,C3,C4,C3_ratio,Alk,GSOH,SC,LC,Total_GSL
CS76347,Aitba-2,MAR,31.48,0,0,MPI,C,NH4HCO3,0.1,NH4HCO3_0.1,5.314220491,52.58,42.595,4.5,9.985,0.088045392,2.218888889,0.140475521,0.195362943,4.86E-18,0.396439715,1.65E-14,2.49E-14,1.49E-13,0,0.379710292,6.30E-16,0,0,0,0,0,0,0,0.398935978,0.12166276,0.044406933,1.175085984,0.166069693,0.776150007,0,1,0.462962548,NA,0.776150007,0.398935978,1.341155678
CS76347,Aitba-2,MAR,31.48,0,0,MPI,C,NH4HCO3,1,NH4HCO3_1,8.452896492,81.23666667,48.29,8.333333333,32.94666667,0.155365005,3.673166666,0.296171753,0.580384506,2.06E-17,0.16980519,0.138428824,0,2.05E-13,0,2.941358846,0,0,0.063945331,9.56E-16,1.21E-14,0.01608947,6.78E-16,0,0.398839804,0.316445072,0.107591575,3.728467465,0.424036647,3.111164036,0.202374155,0.957367401,0.827733408,0,3.313538191,0.414929274,4.152504112
CS76347,Aitba-2,MAR,31.48,0,0,MPI,C,KNO3,0.1,KNO3_0.1,5.503014519,31.255,31.255,1.02E-11,0,4.09E-13,NA,0,0,3.22E-16,0.210332263,1.37E-13,1.89E-13,0,1.93E-13,4.57E-13,9.41E-15,1.72E-13,0,1.22E-14,3.32E-14,8.39E-14,1.01E-14,3.10E-14,0.138296688,0.022624867,0.050111807,0.348628951,0.072736674,0.210332263,0,1,4.85E-13,NA,0.210332263,0.138296688,0.421365625
CS76347,Aitba-2,MAR,31.48,0,0,MPI,C,KNO3,1,KNO3_1,7.056942888,57.66,46.75666667,4,10.90333333,0.05800464,2.725833333,0.107242385,0.158110982,2.78E-17,0.011947812,0.01112697,0,1.90E-14,0,0.232196364,2.47E-15,0,4.25E-14,0,2.38E-14,0.003274248,0,0,0.138739919,0.033968169,0.010442935,0.397285312,0.044411104,0.244144176,0.01112697,0.973222125,0.944468832,NA,0.255271146,0.142014166,0.441696416
CS76350,Vezzano-2.2,ITA,46.6297,10.817,Joerg Wunder,MPI,C,KNO3,1,KNO3_1,3.741399688,31.39,31.39,7.56E-12,1.61E-10,1.89E-13,NA,0,0,0,1.59E-14,0,4.82E-16,0,0,0.169075704,0,0,0.120865363,0,0.100721136,0,0,3.58E-15,0.086688079,0.043457209,0,0.477350282,0.043457209,0.26979684,0.120865363,0.690614137,0.742178447,6.21E-15,0.390662203,0.086688079,0.520807491
CS76350,Vezzano-2.2,ITA,46.6297,10.817,Joerg Wunder,MPI,C,KNO3,0.1,KNO3_0.1,4.317318809,37.36,37.36,0,0,0,NA,0,0,6.14E-17,1.95E-14,1.09E-14,2.20E-16,8.94E-15,0,0.057843006,0,5.05E-16,0,2.84E-17,0.128633859,4.18E-15,1.51E-16,0,8.93E-14,0.02037369,0.055641369,0.186476865,0.076015059,0.186476865,5.52E-15,1,0.275500477,NA,0.186476865,1.07E-13,0.262491923
CS76350,Vezzano-2.2,ITA,46.6297,10.817,Joerg Wunder,MPI,C,NH4HCO3,0.1,NH4HCO3_0.1,4.56365218,47.32,43.085,3.5,4.235,0.071736012,1.21,0.07396088,0.086800574,0,0.202511576,0,5.82E-16,0,0,0.692112864,0,0,0,0,5.20E-14,0,0,3.37E-15,0.133128276,0.109963619,0.00983443,1.027752716,0.119798049,0.89462444,0,1,0.704376548,NA,0.89462444,0.133128276,1.147550765
CS76353,Altenb-2,ITA,46.3716,11.2376,Joerg Wunder,MPI,C,NH4HCO3,0.1,NH4HCO3_0.1,6.013537506,71.97,56.04,14,15.93,0.249821556,1.137857143,0.221342226,0.284261242,0,6.90E-14,0,7.95E-16,0,5.28E-16,2.528896842,8.02E-18,0,2.44E-14,0,3.80E-14,0,0,8.90E-15,0.358360263,0.38113232,0.041828673,2.887257105,0.422960993,2.528896842,3.23E-14,1,1,NA,2.528896842,0.358360263,3.310218098
CS76353,Altenb-2,ITA,46.3716,11.2376,Joerg Wunder,MPI,C,NH4HCO3,1,NH4HCO3_1,5.450076016,50.555,46.9,0.5,3.655,0.008355615,7.31,0.05443038,0.061079546,0,7.24E-14,0.082765118,2.60E-16,0,5.78E-16,1.212141499,4.72E-18,0,2.40E-14,0,3.18E-14,0,0,8.94E-15,0.1215211,0.160363192,0.04082755,1.416427717,0.201190741,1.212141499,0.082765118,0.950774336,0.950774336,NA,1.294906617,0.1215211,1.617618458
CS76353,Altenb-2,ITA,46.3716,11.2376,Joerg Wunder,MPI,C,KNO3,0.1,KNO3_0.1,9.63E-12,139.8,67.61,18,72.19,0.266232806,4.010555556,0.516380544,1.067741458,0,1.41E-14,8.92E-15,2.02E-15,0,7.79E-16,1.190016921,0,8.48E-16,0,0,0,4.52E-15,0,0,0.203067108,0.130465158,0.073693708,1.393084029,0.204158866,1.190016921,0,1,1,NA,1.190016921,0.203067108,1.597242896
